best,generations,runtime
0.823,486,21914.61793279648
0.823,487,21960.721220731735
0.823,488,22006.597690343857
0.823,489,22053.917855978012
0.823,490,22100.374283075333
0.823,491,22143.41831636429
0.823,492,22189.876230239868
0.823,493,22233.45108103752
0.823,494,22279.570284843445
0.823,495,22325.991611480713
0.823,496,22371.857573270798
0.823,497,22420.369047403336
0.823,498,22465.93496966362
0.823,499,22512.356909036636
0.823,500,22558.82505130768
0.823,501,22603.80610227585
0.823,502,22649.83340024948
0.823,503,22695.12833094597
0.823,504,22739.092882156372
0.823,505,22784.690675258636
0.823,506,22831.680235385895
0.823,507,22878.486666679382
0.823,508,22923.781007528305
0.823,509,22971.258724212646
0.823,510,23016.601481199265
0.823,511,23062.601786851883
0.823,512,23109.544404029846
0.823,513,23156.76707625389
0.823,514,23206.252290725708
0.823,515,23248.873745918274
0.823,516,23294.46136045456
0.823,517,23340.59701514244
0.823,518,23383.900091409683
0.823,519,23429.05597805977
0.823,520,23474.104727745056
0.823,521,23521.75739121437
0.823,522,23564.547870397568
0.823,523,23609.284354686737
0.823,524,23653.88799548149
0.823,525,23699.221863031387
0.823,526,23744.383892059326
0.823,527,23789.387851715088
0.823,528,23833.04782629013
0.823,529,23879.742755174637
0.823,530,23925.012229204178
0.823,531,23970.83929014206
0.823,532,24017.78751349449
0.823,533,24062.7712996006
0.823,534,24105.996546268463
0.823,535,24150.811665058136
0.823,536,24195.006543636322
0.823,537,24239.604293107986
0.823,538,24284.288437843323
0.823,539,24328.893986463547
0.823,540,24375.624170780182
0.823,541,24420.007336854935
0.823,542,24464.04464006424
0.823,543,24508.457894086838
0.823,544,24554.31075668335
0.823,545,24599.515699625015
0.823,546,24643.93677830696
0.823,547,24687.40542769432
0.823,548,24733.78874850273
0.823,549,24779.0406229496
0.823,550,24824.813470840454
0.823,551,24868.806686878204
0.823,552,24914.207897663116
0.823,553,24961.774655103683
0.823,554,25005.818093776703
0.823,555,25050.584178447723
0.823,556,25096.61643218994
0.823,557,25140.964975357056
0.823,558,25185.46449637413
0.823,559,25231.050233125687
0.823,560,25275.721583366394
0.823,561,25321.645187854767
0.823,562,25366.83283185959
0.823,563,25413.381356954575
0.847,564,25457.06160092354
0.847,565,25502.94827771187
0.847,566,25548.306064128876
0.847,567,25594.7010076046
0.847,568,25638.390269994736
0.847,569,25684.061434030533
0.847,570,25726.728359222412
0.847,571,25771.622421741486
0.847,572,25817.02025437355
0.847,573,25861.732199430466
0.847,574,25906.287058591843
0.847,575,25948.624438285828
0.847,576,25996.988828659058
0.847,577,26041.87117099762
0.847,578,26087.210924625397
0.847,579,26130.543782949448
0.847,580,26173.343810796738
0.847,581,26217.57307434082
0.847,582,26261.507057905197
0.847,583,26304.99932026863
0.847,584,26350.094252109528
0.847,585,26394.833708286285
0.847,586,26441.346230506897
0.847,587,26487.260217905045
0.847,588,26531.0189204216
0.847,589,26576.553820371628
0.847,590,26622.38246536255
0.847,591,26668.769936800003
0.847,592,26714.815432310104
0.847,593,26757.417264461517
0.847,594,26798.677837848663
0.847,595,26843.913179636
0.847,596,26889.845288991928
0.847,597,26933.25168609619
0.847,598,26979.710051059723
0.847,599,27027.679627418518
0.847,600,27072.75444173813
0.847,601,27116.321450471878
